Date,Model,Model A
01-08-20,Model C,366073.3
02-08-20,Model C,375352.72
03-08-20,Model C,385586.23
04-08-20,Model C,392460.05
05-08-20,Model C,396965.89
06-08-20,Model C,399047.3
07-08-20,Model C,406646.04
08-08-20,Model C,402424.56
09-08-20,Model C,395854.77
10-08-20,Model C,402771.13
11-08-20,Model C,402731.67
12-08-20,Model C,413609.33
13-08-20,Model C,423671.9
14-08-20,Model C,434700.05
15-08-20,Model C,433269.78
16-08-20,Model C,443353.18
17-08-20,Model C,444414.55
18-08-20,Model C,442951.67
19-08-20,Model C,447219.47
20-08-20,Model C,442899.2
21-08-20,Model C,454981.61
22-08-20,Model C,459998.94
23-08-20,Model C,452576.55
24-08-20,Model C,455207.53
25-08-20,Model C,468481.57
26-08-20,Model C,481062.48
27-08-20,Model C,474787.07
28-08-20,Model C,473679.02
29-08-20,Model C,486071.37
30-08-20,Model C,490628.72
31-08-20,Model C,485243.87
01-09-20,Model C,476154.72
02-09-20,Model C,479813.93
03-09-20,Model C,493491.65
04-09-20,Model C,496961.48
05-09-20,Model C,507383
06-09-20,Model C,508946.87
07-09-20,Model C,519464.08
08-09-20,Model C,516756.76
09-09-20,Model C,519913.6
10-09-20,Model C,510190.69
11-09-20,Model C,521141.42
12-09-20,Model C,533462.83
13-09-20,Model C,526658.34
14-09-20,Model C,531700.21
15-09-20,Model C,533547.11
16-09-20,Model C,534026.44
17-09-20,Model C,534817.86
18-09-20,Model C,545075.1
19-09-20,Model C,552756.35
20-09-20,Model C,553229.82
21-09-20,Model C,566745.86
22-09-20,Model C,578775.56
23-09-20,Model C,575992.59
24-09-20,Model C,577501.41
25-09-20,Model C,589554.33
26-09-20,Model C,582510.93
27-09-20,Model C,580842.69
28-09-20,Model C,575253.42
29-09-20,Model C,579359.26
30-09-20,Model C,579484.45
01-10-20,Model C,574703.25
02-10-20,Model C,575629.02
03-10-20,Model C,573930.36
04-10-20,Model C,580827.72
05-10-20,Model C,575571.61
06-10-20,Model C,577144.69
07-10-20,Model C,568141
08-10-20,Model C,577835.38
09-10-20,Model C,567681.25
10-10-20,Model C,581636.37
11-10-20,Model C,592807.38
12-10-20,Model C,598121.1
13-10-20,Model C,609919.14
14-10-20,Model C,624625.01
15-10-20,Model C,624054.94
16-10-20,Model C,632166.24
17-10-20,Model C,631014.69
18-10-20,Model C,645185.71
19-10-20,Model C,662898.2
20-10-20,Model C,666017.19
21-10-20,Model C,666608.16
22-10-20,Model C,654611.14
23-10-20,Model C,642195.69
24-10-20,Model C,658853.21
25-10-20,Model C,678607.4
26-10-20,Model C,683065.59
27-10-20,Model C,680306.09
28-10-20,Model C,681166.49
29-10-20,Model C,687839.8
30-10-20,Model C,705586.03
31-10-20,Model C,712158.12
01-11-20,Model C,701481.9
02-11-20,Model C,692684.71
03-11-20,Model C,680740.5
04-11-20,Model C,690100.1
05-11-20,Model C,682699.5
06-11-20,Model C,674404.69
07-11-20,Model C,690714.44
08-11-20,Model C,690856.47
09-11-20,Model C,710699.16
10-11-20,Model C,698578.17
11-11-20,Model C,700476.45
12-11-20,Model C,716077.17
13-11-20,Model C,702285.2
14-11-20,Model C,713702.91
15-11-20,Model C,710810.83
16-11-20,Model C,712433.34
17-11-20,Model C,714891.48
18-11-20,Model C,727813.17
19-11-20,Model C,740669.08
20-11-20,Model C,737971.65
21-11-20,Model C,732717.34
22-11-20,Model C,719234.94
23-11-20,Model C,738575.14
24-11-20,Model C,727206.82
25-11-20,Model C,733282.97
26-11-20,Model C,753814.14
27-11-20,Model C,772452.18
28-11-20,Model C,784607.19
29-11-20,Model C,770876.24
30-11-20,Model C,775192.4
01-12-20,Model C,778366.94
02-12-20,Model C,785079.5
03-12-20,Model C,783777.06
04-12-20,Model C,778822.12
05-12-20,Model C,767715.54
06-12-20,Model C,772259.87
07-12-20,Model C,780956.47
08-12-20,Model C,803647.26
09-12-20,Model C,795622.48
10-12-20,Model C,818083.62
11-12-20,Model C,825803.72
12-12-20,Model C,814665.98
13-12-20,Model C,836729.07
14-12-20,Model C,838780.34
15-12-20,Model C,825032.46
16-12-20,Model C,840784.72
17-12-20,Model C,831622.74
18-12-20,Model C,854802.4
19-12-20,Model C,854342.41
20-12-20,Model C,853208.55
21-12-20,Model C,862791.63
22-12-20,Model C,865957.5
23-12-20,Model C,876834.29
24-12-20,Model C,902931.96
25-12-20,Model C,897645.9
26-12-20,Model C,906772.2
27-12-20,Model C,921405.64
28-12-20,Model C,946826.5
29-12-20,Model C,953598
30-12-20,Model C,966137.85
31-12-20,Model C,992345.19
01-01-21,Model C,994545.92
02-01-21,Model C,982365.15
03-01-21,Model C,990811.25
04-01-21,Model C,1002678.81
05-01-21,Model C,995867.94
06-01-21,Model C,998766.19
07-01-21,Model C,987001.35
08-01-21,Model C,1001248.2
09-01-21,Model C,1020874.13
11-01-20,Model D,4925
12-01-20,Model D,4843.69
13-01-20,Model D,4795.15
14-01-20,Model D,4828.23
15-01-20,Model D,4884.83
16-01-20,Model D,4823.06
17-01-20,Model D,4893.85
18-01-20,Model D,4889.44
19-01-20,Model D,4953.08
20-01-20,Model D,5017.25
21-01-20,Model D,4944.67
22-01-20,Model D,4929.27
23-01-20,Model D,4930.38
24-01-20,Model D,4972.07
25-01-20,Model D,4974.74
26-01-20,Model D,4938.09
27-01-20,Model D,5022.81
28-01-20,Model D,5092.26
29-01-20,Model D,5182.25
30-01-20,Model D,5194.45
31-01-20,Model D,5221.53
01-02-20,Model D,5302.02
02-02-20,Model D,5383.08
03-02-20,Model D,5435.6
04-02-20,Model D,5436.56
05-02-20,Model D,5472.53
06-02-20,Model D,5577.49
07-02-20,Model D,5477.48
08-02-20,Model D,5596.69
09-02-20,Model D,5611.19
10-02-20,Model D,5697.71
11-02-20,Model D,5664.34
12-02-20,Model D,5756.31
13-02-20,Model D,5770.96
14-02-20,Model D,5756.83
15-02-20,Model D,5760.57
16-02-20,Model D,5719.61
17-02-20,Model D,5683.78
18-02-20,Model D,5650.65
19-02-20,Model D,5645.58
20-02-20,Model D,5622.81
21-02-20,Model D,5692.89
22-02-20,Model D,5658.29
23-02-20,Model D,5682.9
24-02-20,Model D,5654.07
25-02-20,Model D,5552.55
26-02-20,Model D,5441.77
27-02-20,Model D,5340.11
28-02-20,Model D,5440.97
29-02-20,Model D,5470.74
01-03-20,Model D,5394.03
02-03-20,Model D,5337.75
03-03-20,Model D,5430.11
04-03-20,Model D,5377.36
05-03-20,Model D,5359.93
06-03-20,Model D,5451.88
07-03-20,Model D,5553.11
08-03-20,Model D,5580.42
09-03-20,Model D,5641.41
10-03-20,Model D,5623.02
11-03-20,Model D,5611.29
12-03-20,Model D,5571.37
13-03-20,Model D,5608.88
14-03-20,Model D,5649.2
15-03-20,Model D,5628.8
16-03-20,Model D,5590.32
17-03-20,Model D,5591.44
18-03-20,Model D,5536.56
19-03-20,Model D,5655.68
20-03-20,Model D,5568.07
21-03-20,Model D,5463.83
22-03-20,Model D,5358.41
23-03-20,Model D,5382.11
24-03-20,Model D,5424.7
25-03-20,Model D,5515.07
26-03-20,Model D,5547.33
27-03-20,Model D,5609.5
28-03-20,Model D,5561.9
29-03-20,Model D,5626.23
30-03-20,Model D,5710.46
31-03-20,Model D,5657.8
01-04-20,Model D,5732.41
02-04-20,Model D,5654.73
03-04-20,Model D,5692.1
04-04-20,Model D,5626.18
05-04-20,Model D,5584.33
06-04-20,Model D,5564.86
07-04-20,Model D,5454.44
08-04-20,Model D,5437.79
09-04-20,Model D,5556.59
10-04-20,Model D,5653.41
11-04-20,Model D,5592.37
12-04-20,Model D,5710.88
13-04-20,Model D,5722.95
14-04-20,Model D,5639.86
15-04-20,Model D,5646.03
16-04-20,Model D,5688.2
17-04-20,Model D,5631.48
18-04-20,Model D,5598.25
19-04-20,Model D,5717.99
20-04-20,Model D,5660.18
21-04-20,Model D,5610.8
22-04-20,Model D,5509.35
23-04-20,Model D,5439.88
24-04-20,Model D,5386.69
25-04-20,Model D,5345.4
26-04-20,Model D,5405.15
27-04-20,Model D,5438.3
28-04-20,Model D,5420.57
29-04-20,Model D,5390.17
30-04-20,Model D,5306.5
01-05-20,Model D,5406.24
02-05-20,Model D,5507.65
03-05-20,Model D,5412.07
04-05-20,Model D,5325.79
05-05-20,Model D,5238.09
06-05-20,Model D,5160.65
07-05-20,Model D,5246.76
08-05-20,Model D,5167.05
09-05-20,Model D,5069.12
10-05-20,Model D,5084.74
11-05-20,Model D,5015.28
12-05-20,Model D,4920.6
13-05-20,Model D,4876.5
14-05-20,Model D,4786.16
15-05-20,Model D,4837.3
16-05-20,Model D,4804.61
17-05-20,Model D,4715.15
18-05-20,Model D,4641.01
19-05-20,Model D,4565.16
20-05-20,Model D,4475.32
21-05-20,Model D,4447.71
22-05-20,Model D,4393.76
23-05-20,Model D,4440.75
24-05-20,Model D,4414.05
25-05-20,Model D,4421.9
26-05-20,Model D,4507.01
27-05-20,Model D,4452.22
28-05-20,Model D,4381.63
29-05-20,Model D,4363.71
30-05-20,Model D,4306.33
31-05-20,Model D,4226.24
01-06-20,Model D,4214.26
02-06-20,Model D,4252.27
03-06-20,Model D,4299.3
04-06-20,Model D,4381.44
05-06-20,Model D,4376.38
06-06-20,Model D,4317.2
07-06-20,Model D,4312.21
08-06-20,Model D,4312.3
09-06-20,Model D,4303.96
10-06-20,Model D,4376.68
11-06-20,Model D,4390.44
12-06-20,Model D,4417.57
13-06-20,Model D,4339.67
14-06-20,Model D,4339.68
15-06-20,Model D,4282.81
16-06-20,Model D,4234.27
17-06-20,Model D,4242.28
18-06-20,Model D,4311.55
19-06-20,Model D,4274.56
20-06-20,Model D,4235.68
21-06-20,Model D,4277.29
22-06-20,Model D,4366.07
23-06-20,Model D,4352.31
24-06-20,Model D,4358.79
25-06-20,Model D,4325.31
26-06-20,Model D,4395.4
27-06-20,Model D,4429.31
28-06-20,Model D,4395.76
29-06-20,Model D,4365.5
30-06-20,Model D,4287.9
01-07-20,Model D,4262.34
02-07-20,Model D,4304.69
03-07-20,Model D,4295.03
04-07-20,Model D,4364.13
05-07-20,Model D,4399.19
06-07-20,Model D,4475.12
07-07-20,Model D,4477.04
08-07-20,Model D,4446.43
09-07-20,Model D,4428.37
10-07-20,Model D,4345.8
11-07-20,Model D,4322.94
12-07-20,Model D,4344.94
13-07-20,Model D,4410.35
14-07-20,Model D,4364.42
15-07-20,Model D,4454.29
16-07-20,Model D,4476.28
17-07-20,Model D,4418.3
18-07-20,Model D,4458.22
19-07-20,Model D,4414.98
20-07-20,Model D,4437.06
21-07-20,Model D,4423.15
22-07-20,Model D,4379.22
23-07-20,Model D,4355.06
24-07-20,Model D,4278.97
25-07-20,Model D,4335.83
26-07-20,Model D,4275.5
27-07-20,Model D,4347
28-07-20,Model D,4441.98
29-07-20,Model D,4460.5
30-07-20,Model D,4392.13
31-07-20,Model D,4456.57
01-08-20,Model D,4538.11
02-08-20,Model D,4584.99
03-08-20,Model D,4598.77
04-08-20,Model D,4511.17
05-08-20,Model D,4531.19
06-08-20,Model D,4495.79
07-08-20,Model D,4470.24
08-08-20,Model D,4429.7
09-08-20,Model D,4427.45
10-08-20,Model D,4397.31
11-08-20,Model D,4374.38
12-08-20,Model D,4332.28
13-08-20,Model D,4369.02
14-08-20,Model D,4372.89
15-08-20,Model D,4423.07
16-08-20,Model D,4339.76
17-08-20,Model D,4423.17
18-08-20,Model D,4420.57
19-08-20,Model D,4456.47
20-08-20,Model D,4450.47
21-08-20,Model D,4530.15
22-08-20,Model D,4596.65
23-08-20,Model D,4674.49
24-08-20,Model D,4657.01
25-08-20,Model D,4626.51
26-08-20,Model D,4577.38
27-08-20,Model D,4570.33
28-08-20,Model D,4623.58
29-08-20,Model D,4661.64
30-08-20,Model D,4692.55
31-08-20,Model D,4761.77
01-09-20,Model D,4713.14
02-09-20,Model D,4726.88
03-09-20,Model D,4773.2
04-09-20,Model D,4742.2
05-09-20,Model D,4731.55
06-09-20,Model D,4751.92
07-09-20,Model D,4748.25
08-09-20,Model D,4669.37
09-09-20,Model D,4700.12
10-09-20,Model D,4665.93
11-09-20,Model D,4639.28
12-09-20,Model D,4667.76
13-09-20,Model D,4740.99
14-09-20,Model D,4688.05
15-09-20,Model D,4748.76
16-09-20,Model D,4659.5
17-09-20,Model D,4710
18-09-20,Model D,4794.62
19-09-20,Model D,4879.98
20-09-20,Model D,4842.87
21-09-20,Model D,4917.89
22-09-20,Model D,4934.81
23-09-20,Model D,4930.06
24-09-20,Model D,4842.45
25-09-20,Model D,4926.72
26-09-20,Model D,5015.57
27-09-20,Model D,4968.36
28-09-20,Model D,5031.42
29-09-20,Model D,4994.58
30-09-20,Model D,5047.02
01-10-20,Model D,4960.05
02-10-20,Model D,5065.13
03-10-20,Model D,5119.82
04-10-20,Model D,5029.83
05-10-20,Model D,5087.81
06-10-20,Model D,5125.95
07-10-20,Model D,5146.73
08-10-20,Model D,5081.29
09-10-20,Model D,5108.92
10-10-20,Model D,5009.66
11-10-20,Model D,4921.85
12-10-20,Model D,4956.63
13-10-20,Model D,4960.97
14-10-20,Model D,4885.41
15-10-20,Model D,4902.19
16-10-20,Model D,4967.4
17-10-20,Model D,4887.18
18-10-20,Model D,4832.42
19-10-20,Model D,4884.33
20-10-20,Model D,4932.72
21-10-20,Model D,4887.01
22-10-20,Model D,4886.38
23-10-20,Model D,4867.57
24-10-20,Model D,4775.82
25-10-20,Model D,4748.18
26-10-20,Model D,4782.59
27-10-20,Model D,4861.04
28-10-20,Model D,4892.59
29-10-20,Model D,4983.91
30-10-20,Model D,4993.44
31-10-20,Model D,4899.68
01-11-20,Model D,4863.98
02-11-20,Model D,4964.31
03-11-20,Model D,5007.52
04-11-20,Model D,5082.85
05-11-20,Model D,5006.99
06-11-20,Model D,5016.01
07-11-20,Model D,4918.37
08-11-20,Model D,4856.98
09-11-20,Model D,4915.86
10-11-20,Model D,4866.59
11-11-20,Model D,4876.35
12-11-20,Model D,4801.5
13-11-20,Model D,4823.56
14-11-20,Model D,4819.23
15-11-20,Model D,4838.82
16-11-20,Model D,4815.59
17-11-20,Model D,4815.22
18-11-20,Model D,4779.71
19-11-20,Model D,4791.68
20-11-20,Model D,4862.93
21-11-20,Model D,4896.56
22-11-20,Model D,4826.24
23-11-20,Model D,4922.35
24-11-20,Model D,4967.23
25-11-20,Model D,4922.75
26-11-20,Model D,4880.14
27-11-20,Model D,4965.15
28-11-20,Model D,4980.87
29-11-20,Model D,4968.5
30-11-20,Model D,4930.42
01-12-20,Model D,4868.02
02-12-20,Model D,4777.83
03-12-20,Model D,4835.87
04-12-20,Model D,4942.21
05-12-20,Model D,5026.21
06-12-20,Model D,4972.96
07-12-20,Model D,4973.7
08-12-20,Model D,5006.47
09-12-20,Model D,5022.66
10-12-20,Model D,5045.31
11-12-20,Model D,5122.76
12-12-20,Model D,5116.19
13-12-20,Model D,5175.45
14-12-20,Model D,5256.48
15-12-20,Model D,5158.55
16-12-20,Model D,5178.72
17-12-20,Model D,5237.56
18-12-20,Model D,5332.24
19-12-20,Model D,5264.04
20-12-20,Model D,5280.83
21-12-20,Model D,5214.28
22-12-20,Model D,5243.04
23-12-20,Model D,5292.5
24-12-20,Model D,5261.71
25-12-20,Model D,5214.45
26-12-20,Model D,5235.93
27-12-20,Model D,5234.27
28-12-20,Model D,5142.21
29-12-20,Model D,5093.61
30-12-20,Model D,5092.68
31-12-20,Model D,5121.72
01-01-21,Model D,5021.12
02-01-21,Model D,5102.87
03-01-21,Model D,5150.85
04-01-21,Model D,5238.46
05-01-21,Model D,5219.3
06-01-21,Model D,5319.11
07-01-21,Model D,5321.99
08-01-21,Model D,5436.02
09-01-21,Model D,5344.79
11-01-20,Model E,86403
12-01-20,Model E,88303.23
13-01-20,Model E,87567.41
14-01-20,Model E,87845.61
15-01-20,Model E,86511.45
16-01-20,Model E,87569.63
17-01-20,Model E,88004.8
18-01-20,Model E,89212.76
19-01-20,Model E,90003.55
20-01-20,Model E,88982
21-01-20,Model E,88997.43
22-01-20,Model E,88008.37
23-01-20,Model E,89127.24
24-01-20,Model E,89051.69
25-01-20,Model E,90252.94
26-01-20,Model E,88722.14
27-01-20,Model E,87819.29
28-01-20,Model E,88870.78
29-01-20,Model E,88561.14
30-01-20,Model E,89708.61
31-01-20,Model E,90148.63
01-02-20,Model E,88653.12
02-02-20,Model E,88978.45
03-02-20,Model E,87870.77
04-02-20,Model E,89097.65
05-02-20,Model E,89769.2
06-02-20,Model E,89165.79
07-02-20,Model E,88267.89
08-02-20,Model E,86953.9
09-02-20,Model E,87785.25
10-02-20,Model E,89630.22
11-02-20,Model E,90419.26
12-02-20,Model E,89693.4
13-02-20,Model E,88105.19
14-02-20,Model E,88440.88
15-02-20,Model E,87710
16-02-20,Model E,88472.24
17-02-20,Model E,88274.04
18-02-20,Model E,87660.81
19-02-20,Model E,86418.56
20-02-20,Model E,87268.7
21-02-20,Model E,86314
22-02-20,Model E,87514.63
23-02-20,Model E,87818.96
24-02-20,Model E,86102.75
25-02-20,Model E,84763.51
26-02-20,Model E,85332.18
27-02-20,Model E,84391.02
28-02-20,Model E,86185.32
29-02-20,Model E,87994.62
01-03-20,Model E,89362.06
02-03-20,Model E,90011.41
03-03-20,Model E,91228.36
04-03-20,Model E,90720.96
05-03-20,Model E,92423.19
06-03-20,Model E,94137.53
07-03-20,Model E,96086.49
08-03-20,Model E,96444.51
09-03-20,Model E,97088.89
10-03-20,Model E,97966.37
11-03-20,Model E,96538.66
12-03-20,Model E,95301.12
13-03-20,Model E,94530.29
14-03-20,Model E,96472.56
15-03-20,Model E,95763.82
16-03-20,Model E,95310.93
17-03-20,Model E,96792.27
18-03-20,Model E,97050.72
19-03-20,Model E,97079.21
20-03-20,Model E,99060.31
21-03-20,Model E,100579.45
22-03-20,Model E,100014.54
23-03-20,Model E,100219.5
24-03-20,Model E,102247.34
25-03-20,Model E,104424.35
26-03-20,Model E,104412.2
27-03-20,Model E,105504.03
28-03-20,Model E,105811.99
29-03-20,Model E,105802.93
30-03-20,Model E,104146.07
31-03-20,Model E,104690.56
01-04-20,Model E,103932.73
02-04-20,Model E,102203.85
03-04-20,Model E,102293.77
04-04-20,Model E,103593.94
05-04-20,Model E,103179.94
06-04-20,Model E,102429.43
07-04-20,Model E,101507.97
08-04-20,Model E,103631.23
09-04-20,Model E,104506.27
10-04-20,Model E,103434.12
11-04-20,Model E,104940.39
12-04-20,Model E,104246.43
13-04-20,Model E,106042.27
14-04-20,Model E,105475.38
15-04-20,Model E,106316.44
16-04-20,Model E,106595.65
17-04-20,Model E,106849.39
18-04-20,Model E,105746.66
19-04-20,Model E,105973.74
20-04-20,Model E,104210.9
21-04-20,Model E,103211.09
22-04-20,Model E,104872.58
23-04-20,Model E,106333.77
24-04-20,Model E,104477.21
25-04-20,Model E,104705.01
26-04-20,Model E,104888.37
27-04-20,Model E,103926.64
28-04-20,Model E,103083.78
29-04-20,Model E,103863.06
30-04-20,Model E,103508.33
01-05-20,Model E,105180.45
02-05-20,Model E,106839.76
03-05-20,Model E,104801.99
04-05-20,Model E,106759.54
05-05-20,Model E,106387.85
06-05-20,Model E,106222.53
07-05-20,Model E,108129.22
08-05-20,Model E,108990.34
09-05-20,Model E,110968.69
10-05-20,Model E,113309.76
11-05-20,Model E,113100.04
12-05-20,Model E,113719.53
13-05-20,Model E,116060.46
14-05-20,Model E,117663.78
15-05-20,Model E,116857.33
16-05-20,Model E,114918.11
17-05-20,Model E,115101.63
18-05-20,Model E,113355.99
19-05-20,Model E,112268.08
20-05-20,Model E,112512.33
21-05-20,Model E,114079.72
22-05-20,Model E,112249.65
23-05-20,Model E,110826.16
24-05-20,Model E,111802.07
25-05-20,Model E,113991.29
26-05-20,Model E,113876.86
27-05-20,Model E,114074.66
28-05-20,Model E,115683.88
29-05-20,Model E,115187.9
30-05-20,Model E,113326.3
31-05-20,Model E,111487.17
01-06-20,Model E,112191.02
02-06-20,Model E,111279.23
03-06-20,Model E,113542
04-06-20,Model E,114347.09
05-06-20,Model E,114608.24
06-06-20,Model E,113978.38
07-06-20,Model E,112808.8
08-06-20,Model E,112688.37
09-06-20,Model E,111893.61
10-06-20,Model E,112227.6
11-06-20,Model E,112355.49
12-06-20,Model E,114229.79
13-06-20,Model E,112751.57
14-06-20,Model E,110903.05
15-06-20,Model E,111464.68
16-06-20,Model E,111379.36
17-06-20,Model E,110294.22
18-06-20,Model E,112652.13
19-06-20,Model E,114650.06
20-06-20,Model E,114023.15
21-06-20,Model E,115912.63
22-06-20,Model E,116998.26
23-06-20,Model E,116738.23
24-06-20,Model E,118843.1
25-06-20,Model E,117610.39
26-06-20,Model E,119613.48
27-06-20,Model E,117695.03
28-06-20,Model E,118827.5
29-06-20,Model E,120161.81
30-06-20,Model E,117947.7
01-07-20,Model E,118953.86
02-07-20,Model E,119256.56
03-07-20,Model E,117196.81
04-07-20,Model E,115851.84
05-07-20,Model E,114538.54
06-07-20,Model E,115238.39
07-07-20,Model E,117163.25
08-07-20,Model E,117746.86
09-07-20,Model E,118826.66
10-07-20,Model E,119050.99
11-07-20,Model E,117231.84
12-07-20,Model E,117147.23
13-07-20,Model E,116205.91
14-07-20,Model E,117022.51
15-07-20,Model E,115491.64
16-07-20,Model E,115335.05
17-07-20,Model E,117145.72
18-07-20,Model E,118652.97
19-07-20,Model E,116708.82
20-07-20,Model E,115131.99
21-07-20,Model E,115568.46
22-07-20,Model E,115430.77
23-07-20,Model E,116226.51
24-07-20,Model E,117766.22
25-07-20,Model E,115579.61
26-07-20,Model E,116908.38
27-07-20,Model E,116033.26
28-07-20,Model E,114370.75
29-07-20,Model E,112382.81
30-07-20,Model E,114386.74
31-07-20,Model E,116119.65
01-08-20,Model E,114446.53
02-08-20,Model E,115675.79
03-08-20,Model E,114062.21
04-08-20,Model E,113741.8
05-08-20,Model E,115027.79
06-08-20,Model E,114988.45
07-08-20,Model E,115688.43
08-08-20,Model E,114872.95
09-08-20,Model E,114037.17
10-08-20,Model E,114133.98
11-08-20,Model E,116540.11
12-08-20,Model E,116998.83
13-08-20,Model E,117626.81
14-08-20,Model E,118381.8
15-08-20,Model E,120055.4
16-08-20,Model E,121780.18
17-08-20,Model E,121776.86
18-08-20,Model E,122916.88
19-08-20,Model E,122569.79
20-08-20,Model E,125049.19
21-08-20,Model E,122752.15
22-08-20,Model E,123831.2
23-08-20,Model E,124742.17
24-08-20,Model E,126765.5
25-08-20,Model E,126618.96
26-08-20,Model E,127203.22
27-08-20,Model E,129637.83
28-08-20,Model E,129371.97
29-08-20,Model E,131011.11
30-08-20,Model E,130265.55
31-08-20,Model E,129566.12
01-09-20,Model E,130871.18
02-09-20,Model E,129261.42
03-09-20,Model E,129057.81
04-09-20,Model E,131012.88
05-09-20,Model E,129426.66
06-09-20,Model E,128969.8
07-09-20,Model E,129634
08-09-20,Model E,127985.91
09-09-20,Model E,126527.45
10-09-20,Model E,126160.43
11-09-20,Model E,125840.19
12-09-20,Model E,124088.18
13-09-20,Model E,125093.23
14-09-20,Model E,127832.52
15-09-20,Model E,128975.18
16-09-20,Model E,126529.55
17-09-20,Model E,127821.57
18-09-20,Model E,126014
19-09-20,Model E,125815.16
20-09-20,Model E,126085.23
21-09-20,Model E,128541.61
22-09-20,Model E,128415.38
23-09-20,Model E,127801.42
24-09-20,Model E,126717.56
25-09-20,Model E,127887.25
26-09-20,Model E,129478.19
27-09-20,Model E,126901.24
28-09-20,Model E,125086.57
29-09-20,Model E,125295.54
30-09-20,Model E,123269.13
01-10-20,Model E,122762.69
02-10-20,Model E,123543.16
03-10-20,Model E,125729.45
04-10-20,Model E,125798.3
05-10-20,Model E,124690.97
06-10-20,Model E,122649.15
07-10-20,Model E,123899.03
08-10-20,Model E,121951.86
09-10-20,Model E,120947.29
10-10-20,Model E,120699.17
11-10-20,Model E,120367.95
12-10-20,Model E,118102.01
13-10-20,Model E,117916.35
14-10-20,Model E,115916.19
15-10-20,Model E,116158.25
16-10-20,Model E,115551.14
17-10-20,Model E,116042.06
18-10-20,Model E,116029.4
19-10-20,Model E,116523.07
20-10-20,Model E,118684.54
21-10-20,Model E,117754.09
22-10-20,Model E,118656.5
23-10-20,Model E,120009.36
24-10-20,Model E,122217.14
25-10-20,Model E,123040.19
26-10-20,Model E,122227.86
27-10-20,Model E,122230.36
28-10-20,Model E,121645.02
29-10-20,Model E,123261.13
30-10-20,Model E,122640.12
31-10-20,Model E,121251.13
01-11-20,Model E,120533.85
02-11-20,Model E,121838.45
03-11-20,Model E,120001.96
04-11-20,Model E,120963.41
05-11-20,Model E,118711.87
06-11-20,Model E,120613.32
07-11-20,Model E,120807.34
08-11-20,Model E,120928.59
09-11-20,Model E,121516.7
10-11-20,Model E,119499.16
11-11-20,Model E,117208.78
12-11-20,Model E,115242.36
13-11-20,Model E,116377.78
14-11-20,Model E,115207.36
15-11-20,Model E,114006.46
16-11-20,Model E,113705.77
17-11-20,Model E,113061.83
18-11-20,Model E,113235.55
19-11-20,Model E,111365.27
20-11-20,Model E,112654.9
21-11-20,Model E,111904.24
22-11-20,Model E,114272.18
23-11-20,Model E,115777.58
24-11-20,Model E,117717.11
25-11-20,Model E,116881.75
26-11-20,Model E,117396.6
27-11-20,Model E,119184.8
28-11-20,Model E,117544.95
29-11-20,Model E,116682.09
30-11-20,Model E,118552.4
01-12-20,Model E,116890.73
02-12-20,Model E,118289.77
03-12-20,Model E,119592.52
04-12-20,Model E,119644.65
05-12-20,Model E,119245.69
06-12-20,Model E,119994.64
07-12-20,Model E,120928.85
08-12-20,Model E,120893.88
09-12-20,Model E,119970.18
10-12-20,Model E,119435.49
11-12-20,Model E,117638.92
12-12-20,Model E,116374.15
13-12-20,Model E,117888.3
14-12-20,Model E,117489.5
15-12-20,Model E,118512.77
16-12-20,Model E,119249.24
17-12-20,Model E,120870.43
18-12-20,Model E,121902.84
19-12-20,Model E,121432.77
20-12-20,Model E,121689.89
21-12-20,Model E,123332.61
22-12-20,Model E,125604.49
23-12-20,Model E,125461.12
24-12-20,Model E,123368.68
25-12-20,Model E,125302.94
26-12-20,Model E,124868.02
27-12-20,Model E,126966.55
28-12-20,Model E,127979.79
29-12-20,Model E,126483.88
30-12-20,Model E,125188.36
31-12-20,Model E,127014.09
01-01-21,Model E,126846.09
02-01-21,Model E,124555.06
03-01-21,Model E,125732.75
04-01-21,Model E,124032.79
05-01-21,Model E,124086.28
06-01-21,Model E,125480.92
07-01-21,Model E,126692.45
08-01-21,Model E,126719.34
09-01-21,Model E,124711.77
